cell_path,state,pkl_path,status,reason,tv_len,n_true,sp_max,n_dropped_indices,changed_keys
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\26-11-2025-ANST\FOV4\cell6,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\26-11-2025-ANST\FOV4\cell6\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59999.0,59999.0,59450.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\26-11-2025-ANST\fov7\cell1,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\26-11-2025-ANST\fov7\cell1\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59999.0,59999.0,59977.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov17\2\cell2,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov17\2\cell2\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,33999.0,33906.0,33213.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov18\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov18\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,33995.0,26939.0,26908.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov18\cell1,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov18\cell1\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,33995.0,26993.0,26559.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov18\cell2,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\12-01-2025-awake\fov18\cell2\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,33995.0,27113.0,27026.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\21-01-2026-ans\fov16\cell2,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\21-01-2026-ans\fov16\cell2\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31994.0,31994.0,30843.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\21-01-2026-ans\fov18\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\21-01-2026-ans\fov18\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31993.0,13001.0,12972.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\21-01-2026-ans\fov18\cell1,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC44\L\21-01-2026-ans\fov18\cell1\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31993.0,14728.0,14529.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc43\17-11-2025-anst\fov1\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc43\17-11-2025-anst\fov1\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,61996.0,61996.0,59173.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31992.0,31992.0,30265.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell1,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell1\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31992.0,31992.0,31495.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell3,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell3\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31992.0,31992.0,31816.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell4,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\R\07-01-2025-ans\cell4\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31992.0,31992.0,31494.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\RL2\07-01-2025-ans\fov2\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc46\RL2\07-01-2025-ans\fov2\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,31996.0,31996.0,31646.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0,m0,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0\spike_detection_refined_newm0_rm_complex_highplateau.pkl,no_change,already_full_index,12208.0,12208.0,12093.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0,r0,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0\spike_detection_refined_newr0_rm_complex_highplateau.pkl,no_change,already_full_index,15004.0,15003.0,14865.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0,m1,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0\spike_detection_refined_newm1_rm_complex_highplateau.pkl,no_change,already_full_index,16002.0,16001.0,15948.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0,r1,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0\spike_detection_refined_newr1_rm_complex_highplateau.pkl,no_change,already_full_index,15003.0,15002.0,14914.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\21-10-2025-MOTOR\fov7\cell0,m2,,skip_no_pkl,,,,,,
